productid,productname,category,unit_price,currentdiscountpct,supplier
2000,Electronics-Be,electronics,969.31,5.0,Acme
2001,Electronics-Be,clothing,412.35,12.0,BlueSky
2002,Office-Family,clothing,866.0,51.0,NorthPeak
2003,Electronics-Training,clothing,385.18,10.0,Acme
2004,Office-Where,home,927.25,5.0,Acme
2005,Office-Huge,home,428.78,0.0,NorthPeak
2006,Office-Class,clothing,198.0,2.0,BlueSky
2007,Clothing-Over,electronics,583.39,6.0,Acme
2008,Electronics-Skin,home,66.59,9.0,NorthPeak
2009,Office-Raise,clothing,66.31,87.0,BlueSky
2010,Electronics-Themselves,clothing,77.84,,
2011,Electronics-Religious,clothing,409.74,,
2012,Clothing-Artist,electronics,623.19,,
2013,Office-Cultural,home,935.36,,
2014,Clothing-Eat,home,246.3,,
2015,Office-Itself,clothing,674.97,,
2016,Home-He,office,323.02,,
2017,Electronics-Feeling,electronics,463.7,,
2018,Electronics-Nature,electronics,542.26,,
2019,Home-History,clothing,933.93,,
2020,Electronics-Share,clothing,375.83,,
2021,Clothing-Skill,office,835.41,,
2022,Home-Economy,electronics,671.18,,
2023,Home-Yeah,electronics,939.54,,
2024,Clothing-Paper,home,124.27,,
2025,Electronics-Assume,clothing,279.62,,
2026,Clothing-Use,home,211.56,,
2027,Home-Purpose,office,258.61,,
2028,Electronics-Take,electronics,637.94,,
2029,Home-Yourself,electronics,13.51,,
2030,Clothing-First,home,169.97,,
2031,Office-Develop,office,565.3,,
2032,Electronics-There,electronics,945.6,,
2033,Clothing-Argue,electronics,836.25,,
2034,Clothing-Feel,office,136.17,,
2035,Home-According,home,899.99,,
2036,Electronics-Candidate,home,217.98,,
2037,Clothing-Meeting,electronics,360.14,,
2038,Office-Soon,clothing,926.51,,
2039,Clothing-Need,clothing,976.44,,
2040,Clothing-Determine,office,34.54,,
2041,Home-Assume,office,804.21,,
2042,Clothing-Lawyer,home,167.61,,
2043,Electronics-Practice,office,873.45,,
2044,Office-Society,clothing,207.58,,
2045,Office-Next,home,312.14,,
2046,Clothing-Worry,clothing,33.43,,
2047,Clothing-Hair,office,334.98,,
2048,Electronics-Candidate,home,357.63,,
2049,Office-Easy,home,939.84,,
2050,Electronics-Young,home,186.78,,
2051,Home-Century,electronics,117.32,,
2052,Office-Year,home,731.26,,
2053,Home-Ground,office,610.15,,
2054,Electronics-Above,office,900.51,,
2055,Clothing-Politics,home,53.94,,
2056,Office-About,electronics,524.72,,
2057,Clothing-Identify,home,436.98,,
2058,Home-Wear,home,666.75,,
2059,Electronics-Clear,home,512.05,,
2060,Office-Term,home,408.38,,
2061,Home-Quite,clothing,199.92,,
2062,Office-Receive,clothing,619.36,,
2063,Home-Good,office,552.46,,
2064,Electronics-Stop,home,294.04,,
2065,Office-Animal,home,470.34,,
2066,Office-Occur,clothing,516.06,,
2067,Clothing-Remain,electronics,290.95,,
2068,Home-Read,electronics,820.24,,
2069,Clothing-Garden,home,232.39,,
2070,Clothing-About,clothing,34.18,,
2071,Clothing-Success,office,615.16,,
2072,Electronics-Become,office,420.3,,
2073,Clothing-Executive,office,499.43,,
2074,Clothing-Strong,clothing,659.5,,
2075,Electronics-Letter,electronics,780.64,,
2076,Clothing-Affect,clothing,806.07,,
2077,Office-Ball,electronics,561.83,,
2078,Electronics-Film,office,142.01,,
2079,Office-Who,home,950.54,,
2080,Office-Doctor,office,832.26,,
2081,Office-Light,clothing,746.22,,
2082,Office-Figure,office,266.6,,
2083,Clothing-Cut,home,768.16,,
2084,Office-Stuff,clothing,281.85,,
2085,Electronics-Officer,home,242.15,,
2086,Home-Of,home,894.1,,
2087,Electronics-Rather,clothing,159.32,,
2088,Office-Evening,clothing,709.35,,
2089,Electronics-Action,office,413.52,,
2090,Office-Staff,office,71.64,,
2091,Office-Mrs,office,905.79,,
2092,Electronics-Add,office,482.21,,
2093,Home-Real,home,755.94,,
2094,Office-Fight,clothing,493.35,,
2095,Home-Seem,office,490.79,,
2096,Office-Discuss,home,672.18,,
2097,Office-Recent,clothing,842.1,,
2098,Clothing-Trouble,electronics,907.86,,
2099,Electronics-Several,electronics,646.32,,
